buildings,production_method_groups,production_methods,type,required_construction,ammunition,small_arms,artillery,tanks,aeroplanes,manowars,ironclads,grain,fish,fabric,wood,groceries,clothes,furniture,paper,services,transportation,electricity,merchant_marine,clippers,steamers,silk,dye,sulfur,coal,iron,lead,hardwood,rubber,oil,engines,steel,glass,fertilizer,tools,explosives,porcelain,meat,fruit,liquor,wine,tea,coffee,sugar,tobacco,opium,automobiles,telephones,radios,luxury_clothes,luxury_furniture,gold,fine_art,elgar_music,manzoni_prints,elgar_instruments,good_uranium,bauxite,alloys,copper,commonores,advancedores,rare_earths,aluminium,plastics,light_fuel,lubricant,heavy_fuel,copperwires,batteries,electroniccomponents,processors,homeappliances,televisions,computer,robotics,water,pharmaceuticals,gas,civil_planes,space_assets,raw_data,organized_data,business_data,telecommunications,softwares,interactive_entertainment,cosmetics,on_demand_goods,ai_systems,androids,global_electricity
building_eiffel_tower,pmg_base_building_eiffel_tower,pm_monument_no_effects,base,construction_cost_monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_electrics_industry,pmg_telephones_category,pm_telephones,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,-10,,,,,,,,,-15,,-10,,,,,,-10,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,
building_electrics_industry,pmg_telephones_category,pm_bakelite_telephones,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,-15,,,,,,,,,-15,,,,,,,,-5,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,-15,,,,,,-10,,,,,,,,,,,,,,-15,,,,,,,
building_electrics_industry,pmg_telephones_category,pm_touch_tone_telephones,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,-20,,,,,,,,,-10,,,,,,,,-5,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,-15,,,,,,-20,,,,,,,,,,,,,,-15,,,,,,,
building_electrics_industry,pmg_telephones_category,pm_cell_phones,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,-15,,,,,-15,,-10,,,,,,,,,,,,,-25,-5,,,,,,
building_electrics_industry,pmg_telephones_category,pm_smartphones,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,-10,,,,,-20,,-15,,,,,,,,,,,,,-30,-10,,,,,,
building_electrics_industry,pmg_radios_category,pm_no_radios,refining,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_electrics_industry,pmg_radios_category,pm_radios,refining,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,-35,55,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,
building_electrics_industry,pmg_radios_category,pm_transistor_radios,refining,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,-40,75,,,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25,,,,,,,
building_electrics_industry,pmg_radios_category,pm_digital_sound_devices,refining,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,,,,,,,,,,,,,,,,-45,95,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30,-5,,,,,,
building_electrics_industry,pmg_automation_building_electrics_industry,pm_automation_disabled,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_electrics_industry,pmg_automation_building_electrics_industry,pm_assembly_lines_building_electrics_industry,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,
building_electrics_industry,pmg_automation_building_electrics_industry,pm_advanced_assembly_lines_building_electrics_industry,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,-2,,,,,,,,,,,,,,,,
building_electrics_industry,pmg_automation_building_electrics_industry,pm_robotic_building_electrics_industry,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,-1,,,,-3,,,,,,,,,,,,,,,,
building_electrics_industry,pmg_automation_building_electrics_industry,pm_iot_building_electrics_industry,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,-1,,,,-3,,,,,,,,,-5,,,,,,,
building_electrics_industry,pmg_data_optimization_heavy_industry,pm_manual_data_reporting_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
building_electrics_industry,pmg_data_optimization_heavy_industry,pm_manual_data_optimization_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,
building_electrics_industry,pmg_data_optimization_heavy_industry,pm_digital_data_optimization_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-3,,,,,,,,
building_electrics_industry,pmg_data_optimization_heavy_industry,pm_digital_data_on_premises_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,-3,,-1,,,,,,
building_electrics_industry,pmg_data_optimization_heavy_industry,pm_internet_data_reporting_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,-4,-2,-3,,,,,,
building_electrics_industry,pmg_data_optimization_heavy_industry,pm_internet_data_optimization_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,16,,-6,-5,-4,,,,,,
building_electronics_industry,pmg_base_building_copperwires,pm_basic_copperwires,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,-40,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,
building_electronics_industry,pmg_base_building_copperwires,pm_cabled_copperwires,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,-40,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,
building_electronics_industry,pmg_base_building_copperwires,pm_advanced_copperwires,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,-40,,,,,-10,,,,85,,,,,,,,,,,,,,,,,,,,,,,
building_electronics_industry,pmg_base_building_copperwires,pm_electronic_grade_wires,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,,-5,,,-10,,,,110,,,,,,,,,,,,,,,,,,,,,,,
building_electronics_industry,pmg_base_building_electroniccomponents,pm_no_electroniccomponents_production,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_electronics_industry,pmg_base_building_electroniccomponents,pm_vacuum_tube,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,-5,,-5,,,,,-5,-25,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,-25,,50,,,,,,,,,,,,,,,,,,,,,
building_electronics_industry,pmg_base_building_electroniccomponents,pm_transistor,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,,,-10,,,,,,,-30,,65,,,,,,,,,,,,,,,,,,,,,
building_electronics_industry,pmg_base_building_electroniccomponents,pm_integrated_transistor,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,,,-15,,,,,,,-50,,90,,,,,,,,,,,,,,,,,,,,,
building_electronics_industry,pmg_base_building_electroniccomponents,pm_nano_transistor,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,-15,-25,,,,,,-65,,120,,,,,,,,,,,,,,,,,,,,,
building_electronics_industry,pmg_automation_building_electronics_plant,pm_automation_disabled,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_electronics_industry,pmg_automation_building_electronics_plant,pm_watertube_boiler_building_electronics_plant,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_electronics_industry,pmg_automation_building_electronics_plant,pm_rotary_valve_engine_building_electronics_plant,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_electronics_industry,pmg_automation_building_electronics_plant,pm_assembly_lines_building_electronics_plant,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,
building_electronics_industry,pmg_automation_building_electronics_plant,pm_automatic_printed_circuit_board_building_electronics_plant,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,-5,,,,,,,,,,,,,,,,
building_electronics_industry,pmg_data_optimization_heavy_industry,pm_manual_data_reporting_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
building_electronics_industry,pmg_data_optimization_heavy_industry,pm_manual_data_optimization_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,
building_electronics_industry,pmg_data_optimization_heavy_industry,pm_digital_data_optimization_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-3,,,,,,,,
building_electronics_industry,pmg_data_optimization_heavy_industry,pm_digital_data_on_premises_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,-3,,-1,,,,,,
building_electronics_industry,pmg_data_optimization_heavy_industry,pm_internet_data_reporting_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,-4,-2,-3,,,,,,
building_electronics_industry,pmg_data_optimization_heavy_industry,pm_internet_data_optimization_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,16,,-6,-5,-4,,,,,,
building_elgar_opera,pmg_entertainment_type,local_plays_pm,base,construction_cost_high,,,,,,,,,,-25,,-5,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_entertainment_type,classic_plays_pm,base,construction_cost_high,,,,,,,,,,,,-5,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,20,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_entertainment_type,modern_productions_pm,base,construction_cost_high,,,,,,,,,,,,-5,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,-10,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_entertainment_type,silent_films,base,construction_cost_high,,,,,,,,,,,,-5,,-5,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,-3,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_entertainment_type,celluloide_films,base,construction_cost_high,,,,,,,,,,,,-5,,-5,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,25,-5,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_entertainment_type,blockbuster_films,base,construction_cost_high,,,,,,,,,,,,-5,,-5,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,-10,,,,,,,,,,-5,,,,,,,,,-5,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_elgar_orchestra,pm_elgar_classical_orchestra,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_elgar_orchestra,pm_elgar_early_romantic_orchestra,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_elgar_orchestra,pm_elgar_mid_romantic_orchestra,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_elgar_orchestra,pm_elgar_late_romantic_orchestra,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,,-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_elgar_orchestra,pm_elgar_jazz_band,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_elgar_orchestra,pm_elgar_rock_band,other,construction_cost_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,,-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_elgar_ballet_school,pm_elgar_no_ballet,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_elgar_ballet_school,pm_elgar_classic_ballet,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_elgar_ballet_school,pm_elgar_expressionistic_ballet,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_elgar_ballet_school,pm_elgar_swing_ballet,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_elgar_ballet_school,pm_elgar_modern_ballet,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_elgar_opera,pmg_data_optimization_light_industry,pm_manual_data_reporting_light_industry,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
building_elgar_opera,pmg_data_optimization_light_industry,pm_manual_data_optimization_light_industry,other,construction_cost_high,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,
building_elgar_opera,pmg_data_optimization_light_industry,pm_digital_data_optimization_light_industry,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-3,,,,,,,,
building_elgar_opera,pmg_data_optimization_light_industry,pm_digital_data_on_premises_light_industry,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,-3,,-1,,,,,,
building_elgar_opera,pmg_data_optimization_light_industry,pm_internet_data_reporting_light_industry,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,-4,-2,-3,,,,,,
building_elgar_opera,pmg_data_optimization_light_industry,pm_internet_data_optimization_light_industry,other,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,12,,-6,-5,-4,,,,,,
building_estacion_de_madrid_atocha,pmg_base_building_estacion_de_madrid_atocha,pm_default_building_estacion_de_madrid_atocha,base,construction_cost_monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_estacion_de_madrid_atocha,pmg_base_building_estacion_de_madrid_atocha,pm_monument_prestige_only,base,construction_cost_monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_estacion_de_madrid_atocha,pmg_base_building_estacion_de_madrid_atocha,pm_monument_no_effects,base,construction_cost_monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_explosives_factory,pmg_explosives_building_chemical_plant,pm_leblanc_process,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,-20,,,,,,,,,,-20,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_explosives_factory,pmg_explosives_building_chemical_plant,pm_ammonia-soda_process,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_explosives_factory,pmg_explosives_building_chemical_plant,pm_vacuum_evaporation,base,construction_cost_very_high,,,,,,,,,,,,,,,-20,,,,,,,,,-40,,,,,,,,,,-40,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_explosives_factory,pmg_explosives_building_chemical_plant,pm_brine_electrolysis,base,construction_cost_very_high,,,,,,,,,,,,,,,-20,,,-20,,,,,,-40,,,,,,,,,,-50,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,,,,,,,,,,,,,,,
building_explosives_factory,pmg_explosives_factory_automation,pm_automation_disabled,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_explosives_factory,pmg_explosives_factory_automation,pm_basic_electric_control_building_explosives_factory,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,
building_explosives_factory,pmg_explosives_factory_automation,pm_advanced_electric_control_building_explosives_factory,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,-3,,,,,,,,,,,,,,,,
building_explosives_factory,pmg_data_optimization_heavy_industry,pm_manual_data_reporting_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
building_explosives_factory,pmg_data_optimization_heavy_industry,pm_manual_data_optimization_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,
building_explosives_factory,pmg_data_optimization_heavy_industry,pm_digital_data_optimization_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-3,,,,,,,,
building_explosives_factory,pmg_data_optimization_heavy_industry,pm_digital_data_on_premises_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,-3,,-1,,,,,,
building_explosives_factory,pmg_data_optimization_heavy_industry,pm_internet_data_reporting_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,-4,-2,-3,,,,,,
building_explosives_factory,pmg_data_optimization_heavy_industry,pm_internet_data_optimization_heavy_industry,other,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,16,,-6,-5,-4,,,,,,
building_eye_of_sahara,pmg_dummy,pm_dummy,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_financial_district,pmg_ownership_building_financial_district,pm_financial_district_privately_owned,ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_financial_district,pmg_ownership_building_financial_district,pm_financial_district_publicly_traded,ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_financial_district,pmg_ownership_building_financial_district,pm_financial_district_principle_divine_economics_2,ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_fishing_wharf,pmg_base_building_fishing_wharf,pm_simple_fishing,base,construction_cost_low,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_fishing_wharf,pmg_base_building_fishing_wharf,pm_fishing_trawlers,base,construction_cost_low,,,,,,,,,50,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_fishing_wharf,pmg_base_building_fishing_wharf,pm_steam_trawlers,base,construction_cost_low,,,,,,,,,100,,,,,,,,,,,,-5,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_fishing_wharf,pmg_base_building_fishing_wharf,pm_fuel_trawlers,base,construction_cost_low,,,,,,,,,120,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,
building_fishing_wharf,pmg_refrigeration_building_fishing_wharf,pm_unrefrigerated,automation,construction_cost_low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_fishing_wharf,pmg_refrigeration_building_fishing_wharf,pm_refrigerated_storage_building_fishing_wharf,automation,construction_cost_low,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_fishing_wharf,pmg_refrigeration_building_fishing_wharf,pm_refrigerated_rail_cars_building_fishing_wharf,automation,construction_cost_low,,,,,,,,,,,,,,,,,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
